term,estimate,std.error,conf.low,conf.high,p.value
Intercept,2.7073212308048693,0.4865986525953546,1.7515058674131805,3.6631365941965583,4.1245056775285446e-8
"log1p(Starting-5 followers, total)",0.07254614384661133,0.01270989484757588,0.04758036825802132,0.09751191943520134,1.8709024593093985e-8
log1p(Home team-handle followers),0.06686993939958791,0.0181027287016789,0.03131113519803769,0.10242874360113811,2.4284900287989536e-4
log1p(Away team-handle followers),0.01209646567522448,0.01810048619791021,-0.02345793362396289,0.04765086497441186,0.5042251094681722
log(Combined DMA households),0.10878342629981191,0.02312493415916912,0.06335961094630815,0.15420724165331567,3.2268713093600127e-6
Home last-5 win pct,0.0649536284314358,0.05674537891937337,-0.04651011007941294,0.17641736694228455,0.25285092231881756
Away last-5 win pct,-0.03211958402158418,0.05749330902344434,-0.14505246569672495,0.08081329765355659,0.576616325876514
On-fire indicator (either team),9.448106068676996e-4,0.03710881675363689,-0.07194724731649953,0.07383686853023493,0.9796968388106168
Combined season win pct,0.9586407483774912,0.21225500110915943,0.5417127730639991,1.3755687236909837,7.696717042716773e-6
Playoff: Round 1 (vs regular),0.9171970013212338,0.03051425506162863,0.8572585003928084,0.9771355022496592,3.127259303169823e-118
Playoff: Round 2,1.315512077265363,0.04380203402124201,1.2294726753023577,1.4015514792283683,4.151778335848793e-118
Playoff: Conference finals,1.523342292347218,0.04098995203960903,1.4428266030924697,1.6038579816019662,3.0683195134133392e-152
Playoff: Finals,1.5749770413410942,0.08108339350335285,1.4157066594502374,1.734247423231951,2.0648979611523562e-64
Network: ESPN (vs ABC),-0.5112294072161272,0.05136992145543685,-0.6121342491869116,-0.4103245652453428,1.4374860171769331e-21
Network: NBC,-0.16804482669148016,0.08933822950260725,-0.34353000701690517,0.00744035363394485,0.06049957685066962
Network: Prime Video,-0.7947815702908462,0.08360043443622231,-0.9589961220454922,-0.6305670185362001,6.008315251605864e-20
Network: TNT,-0.559649636950333,0.06012794985021152,-0.6777576874546755,-0.44154158644599045,3.0754273592117827e-19
Network: TNT+TruTV,-0.6902306916527016,0.07179863581943861,-0.8312632218924686,-0.5491981614129345,2.4852873681400606e-20
Tipoff: Primetime (vs early),0.13644846086430357,0.0526367081364954,0.03305529681240024,0.2398416249162069,0.00978757607818879
Tipoff: Late,0.1197564465974676,0.05911451948498494,0.00363905576233038,0.2358738374326048,0.04326275951864043
Holiday game,0.4496495246549576,0.1407554903252214,0.17316651464865085,0.7261325346612644,0.00148060593107549
Weekend game,0.14336600064927574,0.04149840820730596,0.06185156178002711,0.2248804395185244,5.932383610075985e-4
