"model","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"F1_regular_only","(Intercept)",2.72755597919574,0.548955580087593,4.96862784191122,9.97537739728033e-07,1.6483898543181,3.80672210407338
"F1_regular_only","log1p(starting5_followers_total)",0.0751672333012025,0.0157635650263292,4.76841584855038,2.59656147554475e-06,0.0441783773704441,0.106156089231961
"F1_regular_only","log1p(team_handle_followers_home)",0.0840768614196278,0.020550505394464,4.09123083864774,5.18155237567931e-05,0.0436775830895267,0.124476139749729
"F1_regular_only","log1p(team_handle_followers_away)",0.0324147606671307,0.0206004147903877,1.57350038807256,0.116385765494482,-0.0080826322123941,0.0729121535466556
"F1_regular_only","log(market_hh_combined)",0.071124509023286,0.0276187069082208,2.5752295087398,0.0103721348135995,0.0168301835998698,0.125418834446702
"F1_regular_only","home_last5_win_pct",0.0720105010757845,0.0660050784283501,1.09098425137019,0.275930045164088,-0.0577457985111541,0.201766800662723
"F1_regular_only","away_last5_win_pct",-0.0199196475552176,0.0674968583693604,-0.295119625364074,0.768054101210701,-0.152608567624588,0.112769272514153
"F1_regular_only","on_fire_either",0.0148987566995665,0.0379969505068042,0.392104011002109,0.695188126557557,-0.0597976728896044,0.0895951862887375
"F1_regular_only","combined_season_win_pct",0.942178162280125,0.177909670335327,5.29582321469257,1.95030129474053e-07,0.592433854218992,1.29192247034126
"F1_regular_only","networkESPN",-0.522963300211396,0.0518496956931931,-10.0861402023629,1.73772781888503e-21,-0.624892194291277,-0.421034406131514
"F1_regular_only","networkNBC",-0.154341176085423,0.0759483501089454,-2.03218602990092,0.0427885307164061,-0.30364448886866,-0.00503786330218636
"F1_regular_only","networkPRIME VIDEO",-0.818013126555577,0.0692182737713733,-11.8178781698235,6.96798266045164e-28,-0.95408609673042,-0.681940156380735
"F1_regular_only","networkTNT",-0.621738866629352,0.0566600449795992,-10.9731446004537,1.07147995805543e-24,-0.733124201607221,-0.510353531651483
"F1_regular_only","networkTNT+TRUTV",-0.711676555961984,0.0843411634858577,-8.43806898729015,5.81587130083325e-16,-0.877478908407663,-0.545874203516306
"F1_regular_only","time_slotprimetime",0.0461950019927633,0.0519988843673385,0.888384482759774,0.374862585343661,-0.0560271751307616,0.148417179116288
"F1_regular_only","time_slotlate",0.0290035758909432,0.0608785237996185,0.476417200693111,0.634034738692572,-0.0906746694902634,0.14868182127215
"F1_regular_only","is_holiday",0.376361932320567,0.0707908456859617,5.31653392008003,1.75389161167341e-07,0.237197516497449,0.515526348143684
"F1_regular_only","is_weekend",0.0842130668939989,0.0474852675751862,1.77345672024822,0.0769063349838711,-0.00913600187712992,0.177562135665128
"F2_regular_plus_season_timing","(Intercept)",2.69707249403986,0.546899243855138,4.93157107884804,1.19474746228116e-06,1.62194080866739,3.77220417941233
"F2_regular_plus_season_timing","log1p(starting5_followers_total)",0.0716833111310069,0.0157877991449642,4.54042456917571,7.42437558855561e-06,0.0406465830796082,0.102720039182406
"F2_regular_plus_season_timing","log1p(team_handle_followers_home)",0.0860729500747883,0.0204886272010909,4.20101108922541,3.27414944297733e-05,0.0457950148953571,0.126350885254219
"F2_regular_plus_season_timing","log1p(team_handle_followers_away)",0.0331110814490661,0.0205186183709102,1.61370911289078,0.107373237927597,-0.00722581240934743,0.0734479753074796
"F2_regular_plus_season_timing","log(market_hh_combined)",0.070163869072338,0.0275092586457221,2.55055470508832,0.0111240542694231,0.016084299675536,0.12424343846914
"F2_regular_plus_season_timing","home_last5_win_pct",0.0808715152787413,0.0658718704553642,1.22770941100786,0.220272681708933,-0.0486238824513604,0.210366913008843
"F2_regular_plus_season_timing","away_last5_win_pct",-0.00848224449032835,0.0674439759723929,-0.125767266357494,0.899978870891704,-0.141068194041625,0.124103705060968
"F2_regular_plus_season_timing","on_fire_either",0.00985645069983536,0.0379184566293099,0.25993807702122,0.795044286735545,-0.0646862272077455,0.0843991286074162
"F2_regular_plus_season_timing","combined_season_win_pct",0.928780557656416,0.177296513865785,5.23857202493845,2.61378303674776e-07,0.580239026643298,1.27732208866953
"F2_regular_plus_season_timing","networkESPN",-0.520562482074565,0.0516498320517365,-10.0786868300584,1.86853623340317e-21,-0.622099230583395,-0.419025733565734
"F2_regular_plus_season_timing","networkNBC",-0.149951276723721,0.0756661175178751,-1.98174931716692,0.0481863326491465,-0.298700870669279,-0.00120168277816249
"F2_regular_plus_season_timing","networkPRIME VIDEO",-0.835521290953016,0.0694451978595092,-12.0313760591958,1.06914081870398e-28,-0.972041378436435,-0.699001203469597
"F2_regular_plus_season_timing","networkTNT",-0.619049391491152,0.0564423546288536,-10.9678165548163,1.13923500579769e-24,-0.730007606446344,-0.50809117653596
"F2_regular_plus_season_timing","networkTNT+TRUTV",-0.674584040671941,0.0858633444723228,-7.85648456646581,3.6285649126668e-14,-0.84338003607964,-0.505788045264243
"F2_regular_plus_season_timing","time_slotprimetime",0.0491979476140925,0.0518056152616146,0.949664382242089,0.342851964082465,-0.0526450501113364,0.151040945339521
"F2_regular_plus_season_timing","time_slotlate",0.0323349091882042,0.060649850015238,0.533140793919197,0.594230001231072,-0.0868946860199076,0.151564504396316
"F2_regular_plus_season_timing","is_holiday",0.366719595420079,0.0706523185037924,5.19048211277588,3.33267943854029e-07,0.227826468172356,0.505612722667802
"F2_regular_plus_season_timing","is_weekend",0.107565514910358,0.0486021075180893,2.21318622593317,0.027444398237266,0.0120201903269174,0.203110839493799
"F2_regular_plus_season_timing","weeks_until_regular_end",0.00477536502300102,0.00229339324121545,2.08222686680204,0.0379520555566753,0.000266856795290028,0.00928387325071202
