term,r2_share,sample
playoff_stakes,0.5591973546735379,full (n=573)
network,0.15573060108769457,full (n=573)
time_slot,0.022668607832420952,full (n=573)
log1p(starting5_followers_total),0.010219678628851595,full (n=573)
log1p(team_handle_followers_home),0.00570205166487343,full (n=573)
log1p(team_handle_followers_away),0.001326950188308804,full (n=573)
log(market_hh_combined),0.007746851769628398,full (n=573)
home_last5_win_pct,0.0043751957194620005,full (n=573)
away_last5_win_pct,0.002704794434637868,full (n=573)
on_fire_either,0.0026450534160114385,full (n=573)
combined_season_win_pct,0.04558912080954646,full (n=573)
is_holiday,0.011345664333113408,full (n=573)
is_weekend,0.03710942751103404,full (n=573)
playoff_stakes,0.6162003728673868,pre-2025/26 (n=452)
network,0.11724983653588868,pre-2025/26 (n=452)
time_slot,0.02578217612138827,pre-2025/26 (n=452)
log1p(starting5_followers_total),0.010604193605248466,pre-2025/26 (n=452)
log1p(team_handle_followers_home),0.003991040263548825,pre-2025/26 (n=452)
log1p(team_handle_followers_away),0.0011214940751216491,pre-2025/26 (n=452)
log(market_hh_combined),0.008449731070137412,pre-2025/26 (n=452)
home_last5_win_pct,0.0059808170353695305,pre-2025/26 (n=452)
away_last5_win_pct,0.0033907224358334593,pre-2025/26 (n=452)
on_fire_either,0.00376752342518856,pre-2025/26 (n=452)
combined_season_win_pct,0.05114043700425884,pre-2025/26 (n=452)
is_holiday,0.004722590368132494,pre-2025/26 (n=452)
is_weekend,0.036892241343305654,pre-2025/26 (n=452)
