family,lmg_share,ci_lo,ci_up,sensitivity,n,r_squared
Star power,0.016710712462924014,0.012103069289277861,0.027650652373635138,A: reference (full sample),573,0.8663613520691209
Team form,0.009735957397893883,0.0044073588210176455,0.023133458574662844,A: reference (full sample),573,0.8663613520691209
Matchup,0.6007777800838182,0.5468193111270765,0.642282184983721,A: reference (full sample),573,0.8663613520691209
Timing,0.06698618222822712,0.04979537554662746,0.09842157996671363,A: reference (full sample),573,0.8663613520691209
Network,0.16474684612697094,0.1360745355736078,0.19630603480156075,A: reference (full sample),573,0.8663613520691209
Market size,0.007403873769286813,0.003517502101515854,0.017091677058622773,A: reference (full sample),573,0.8663613520691209
Star power,0.10873349895266925,0.07413031189658055,0.15412488544688144,F1: regular only,422,0.657933363309167
Team form,0.014823690894405614,0.007792358837938604,0.03822216692029481,F1: regular only,422,0.657933363309167
Timing,0.16536913046369295,0.11165748331201596,0.2456745921457771,F1: regular only,422,0.657933363309167
Network,0.31387032199749737,0.2672696971333183,0.36357951497793206,F1: regular only,422,0.657933363309167
Market size,0.02348381607002963,0.008646275815984653,0.046824196711901495,F1: regular only,422,0.657933363309167
Matchup,0.031652904930871986,0.01250404537532931,0.061901202909974064,F1: regular only,422,0.657933363309167
Star power,0.10776011741204448,0.07246434046723037,0.15329296796120076,F2: regular + season timing,422,0.6615743104011607
Team form,0.014967690064760125,0.007899822459128708,0.03852385033075925,F2: regular + season timing,422,0.6615743104011607
Timing,0.16524967418909253,0.1113379364332829,0.2448428472603473,F2: regular + season timing,422,0.6615743104011607
Network,0.31532937153846047,0.268352828814266,0.365106471658863,F2: regular + season timing,422,0.6615743104011607
Market size,0.023349512423615295,0.00858885465378823,0.0467121354007936,F2: regular + season timing,422,0.6615743104011607
Matchup,0.03153031310531858,0.012744645001506447,0.061663479263814006,F2: regular + season timing,422,0.6615743104011607
Season timing,0.003387631667868787,0.0012340690865542086,0.010847682808652559,F2: regular + season timing,422,0.6615743104011607
